cpi_id,cpi_value,sector_id,year,base_year,period_category
388,92.378,3,2020,2019,
389,108.687,3,2021,2019,
390,129.596,3,2022,2019,
391,124.507,3,2023,2019,
392,128.165,3,2024,2019,
393,99.95,3,2018,2019,
394,100,3,2019,2019,
395,92.584,3,2020,2019,
396,108.95,3,2021,2019,
397,129.65,3,2022,2019,
398,124.635,3,2023,2019,
399,128.292,3,2024,2019,
400,101.862,3,2018,2019,
401,100,3,2019,2019,
402,94.224,3,2020,2019,
403,95.012,3,2021,2019,
404,108.69,3,2022,2019,
405,111.831,3,2023,2019,
406,117.84,3,2024,2019,
407,100.733,3,2018,2019,
408,100,3,2019,2019,
409,94.703,3,2020,2019,
410,95.997,3,2021,2019,
411,108.132,3,2022,2019,
412,110.785,3,2023,2019,
413,116.739,3,2024,2019,
414,101.217,3,2018,2019,
415,100,3,2019,2019,
416,94.688,3,2020,2019,
417,95.517,3,2021,2019,
418,108.21,3,2022,2019,
419,111.109,3,2023,2019,
420,117.133,3,2024,2019,
421,93.591,3,2018,2019,
422,100,3,2019,2019,
423,100,3,2020,2019,
424,100,3,2021,2019,
425,100,3,2022,2019,
426,101.023,3,2023,2019,
427,107.355,3,2024,2019,
428,93.591,3,2018,2019,
429,100,3,2019,2019,
430,100,3,2020,2019,
431,100,3,2021,2019,
432,100,3,2022,2019,
433,101.023,3,2023,2019,
434,107.355,3,2024,2019,
435,93.591,3,2018,2019,
436,100,3,2019,2019,
437,100,3,2020,2019,
438,100,3,2021,2019,
439,100,3,2022,2019,
440,101.023,3,2023,2019,
441,107.355,3,2024,2019,
